codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
355662;RMN CEREBRO CON DIFUSION;293607;346200;N OSMISS;ALTA;20000
342061;URO/GINECO RESONANCIA C/CTE IV Y CON GEL INTRAVAGINAL Y RECTAL;293607;346321;N OSMISS;ALTA;20000
342059;URO/GINECO RESONANCIA C/CTE EV;293607;346321;N OSMISS;ALTA;20000
180104;ECOGRAFIA TOCOGINECOL.;38297;180104;NN;BAJA;10000
180106;ECOGRAFIA.MAMARIA UNI/BIL;38297;180106;NN;BAJA;10000
180107;ECOGRAFIA CEREB.C/B A;38297;180107;NN;BAJA;10000
180110;ECOGRAFIA TIROIDEA;38297;180110;NN;BAJA;10000
180111;ECOGRAFIA TESTICULAR;38297;180111;NN;BAJA;10000
180112;ECOGRAFIA ABDOM.COMPL.;44679;180112;NN;BAJA;10000
180113;ECOGRAFIA HEPAT./TORAC;38297;180113;NN;BAJA;10000
180114;ECOGRAFIA VEJIGA/PROST;38297;180114;NN;BAJA;10000
180116;ECOGRAFIA RENAL BILATERAL;38297;180116;NN;BAJA;10000
180117;ECOGRAFIA AORTA ABDOM;38297;180117;NN;BAJA;10000
180118;ECOGRAFIA PANCR/SUPRAR;38297;180118;NN;BAJA;10000
185120;ECOGRAFIA TRANSRECTAL;63828;185111;N OSMISS;MEDIA;15000
180222;ECOGRAFIA TRANSVAGINAL;63828;185010;N OSMISS;MEDIA;15000
180200;ECOGRAFIAS NO NOMENCLADAS;114890;185113;N OSMISS;MEDIA;15000
180208;ECOGRAFIA DE HOMBRO;114890;185025;N OSMISS;MEDIA;15000
180215;ECOGRAFIA DE PARTES BLANDAS;114890;180524;N OSMISS;MEDIA;15000
180216;ECOGRAFIA DE PENE;114890;185111;N OSMISS;MEDIA;15000
180238;ECOGRAFIA DE PLEURA;114890;185112;N OSMISS;MEDIA;15000
185125;ECODOPPLER ARTERIAL o VENOSO;204248;185076;N OSMISS;MEDIA;15000
180419;ECODOPPLER VASOS CUELLO COLOR;204248;185060;N OSMISS;MEDIA;15000
180405;ECODOPPLER COLOR POR REGION;204248;185108;N OSMISS;MEDIA;15000
180403;ECODOPPLER COLOR CARDÍACO;204248;185064;N OSMISS;MEDIA;15000
180421;ECODOPPLER  TRANSVAGINAL COLOR;204248;185095;N OSMISS;MEDIA;15000
340601;MAMOGRAFIA P/LADO;34148;340601;NN;BAJA;10000
340602;MAMOGRAFIA PROY.AXILAR P/LADO;20489;340602;NN;BAJA;10000
340201;RX CRANEO/MNP/FNP 1 EXP;16391;340201;NN;BAJA;10000
340202;RX CRANEO/FNP/FNP EXP SIG;9561;340202;NN;BAJA;10000
340421;RX ABDOMEN FTE;16391;340421;NN;BAJA;10000
340211;RX DE HOMBRO, HUMERO, PELVIS,CADERA Y FEMUR 1 EXP;16391;340211;NN;BAJA;10000
340212;RX DE HOMBRO, HUMERO, PELVIS,CADERA Y FEMUR EXP SUBSIG.;9561;340212;NN;BAJA;10000
340213;RX ANTEBRAZO/CODO / MANO /RODILLA/TOBILLO Y PIE     1 EXP;16391;340213;NN;BAJA;10000
340209;RX RAQUIS 1 EXPOSICION;16391;340209;NN;BAJA;10000
340210;RX RAQUIS EXP.SIG.;9561;340210;NN;BAJA;10000
340301;RX TORAX FTE / PARRILLA COSTAL FTE;16391;340301;NN;BAJA;10000
340302;RX TORAX PERFIL/ EXP SIG;9561;340302;NN;BAJA;10000
660001;ACTO BIOQUÍMICO;13086;660001;NBU;BAJA;10000
660002;ACETONURIA.;2181;660002;NBU;BAJA;10000
660004;ACIDIMETRIA GASTRICA , CURVA DE;6543;660004;NBU;BAJA;10000
660005;ÁCIDO BASE, Estado Ácido Base (EAB).;43620;660005;NBU;BAJA;10000
660006;ACTH - HORMONA ADRENOCORTICOTROFINA.;26172;660006;NBU;BAJA;10000
660007;ADDIS, RECUENTO DE;4362;660007;NBU;BAJA;10000
660009;ADRENALINA, plasmática (CATECOLAMINA plasmática);54525;660009;NBU;BAJA;10000
