Practica Centro;Valor;COD NBU;Descripcion NBU;Similitud;Estado
Micop.pneumoniae Ac. Anti (igm);23456,31;663589;CHLAMYDIA PNEUMONIAE, Ac. IgM Anti-;0.593;Encontrado
Micop.pneumoniae Ac. Anti (igm);23456,31;667717;MYCOPLASMA PNEUMONIAE, Ac. IgM Anti-;0.5809;Encontrado
Microalbuminuria;26042,62;661130;MICROALBUMINURIA / ALBUMINA URINARIA;0.6471;Encontrado
MIDAZOLAM;13717,04;;;;No Encontrado
Mpo;63636,96;;;;No Encontrado
Músculo estriado Ac. Anti;23601,11;667631;MUSCULO ESTRIADO, Ac. Anti-;0.5374;Encontrado
Myc. Urogenital (cultivo);50710,35;;;;No Encontrado
"N.MENING.""B""/E.COLI";27315,62;;;;No Encontrado
N.n. dimetil triptamina;81824,66;;;;No Encontrado
"NEISSERIA MENING ""C""";27128,78;;;;No Encontrado
"Neisseria mening. ""a"".""c""";40570,75;;;;No Encontrado
NICOTINA (COTININA);13867,87;664033;COTININA - sérica;0.559;Encontrado
NICOTINA (COTININA);13867,87;664035;COTININA - urinaria;0.5507;Encontrado
NIQUEL EN ORINA;13627,14;667828;NIQUEL URINARIO (Ni urinario);0.6919;Encontrado
NITRAZEPAM;13650,45;;;;No Encontrado
NORMETANEFRINAS;66213,01;;;;No Encontrado
Osmolaridad urinaria;21156,09;660715;OSMOLARIDAD - suero.;0.6515;Encontrado
Osteocalcina;56628,39;667939;OSTEOCALCINA;1.0;Encontrado
Oxalaturia;21908,82;;;;No Encontrado
Oxcarbacepina  hplc;18377,88;;;;No Encontrado
Pap en orina;2702,39;;;;No Encontrado
Pap secreción pezón;2631,37;;;;No Encontrado
PARA-AMINOFENOL;26388,54;668024;PARA AMINOFENOL;1.0;Encontrado
"Parainfluenzae ""I"" Ac. Anti (igg)";27767,97;;;;No Encontrado
"Parainfluenzae ""I"" Ac. Anti (igm)";41534,63;;;;No Encontrado
"Parainfluenzae ""I"" antígeno";34061,12;;;;No Encontrado
"Parainfluenzae ""II""  Ac. Anti (igm)";41522,59;668144;PARAINFLUENZA II, Ac. IgM Anti-;0.6183;Encontrado
"Parainfluenzae ""II""  Ac. Anti (igm)";41522,59;668142;PARAINFLUENZA II, Ac. Anti-;0.5147;Encontrado
"Parainfluenzae ""II"" Ac. Anti (igg)";27673,05;668142;PARAINFLUENZA II, Ac. Anti-;0.5162;Encontrado
"Parainfluenzae ""II"" antígeno";33890,08;;;;No Encontrado
"Parainfluenzae ""III"" Ac. Anti (igg)";27901,04;668149;PARAINFLUENZA III, Ac. Anti-;0.5407;Encontrado
