codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
660654;MAGNESIO (MG) - URINARIO;2285;660654;NBU;BAJA;10000
660656;MANTOUX, INTRADERMO-REACCION DE (PPD);18280;660656;NBU;BAJA;10000
660657;MEDULOGRAMA;8226;660657;NBU;BAJA;10000
660660;MERCURIO (HG) - SERICO O URINARIO;13710;660660;NBU;BAJA;10000
660662;METANEFRINAS FRACCIONADAS URINARIAS;45700;660662;NBU;BAJA;10000
660663;METANOL - URINARIO;13710;660663;NBU;BAJA;10000
660664;MICOLOGIA (DIRECTO - COLORACION);3656;660664;NBU;BAJA;10000
660665;MICOLOGIA (CULTIVO E IDENTIFICACION);12796;660665;NBU;BAJA;10000
660667;MOCO CERVICAL, CRISTALIZACION;1828;660667;NBU;BAJA;10000
660668;MOCO NASAL, PH - CITOLOGICO;1828;660668;NBU;BAJA;10000
660669;MONONUCLEOSIS (AGLUTINACION - TEST DE LATEX O MONOTEST);2742;660669;NBU;BAJA;10000
660670;"MONONUCLEOSIS HEMOAGLUTINACION (PAUL
BUNNELL)";2742;660670;NBU;BAJA;10000
660671;MONONUCLEOSIS;2742;660671;NBU;BAJA;10000
660672;MONOXIDO DE CARBONO;4570;660672;NBU;BAJA;10000
660673;MORFINA OPIACEOS, DERIVADOS - LIQUIDOS BIOLOGICOS;10968;660673;NBU;BAJA;10000
660684;MULTIRRESISTENCIA, VIGILANCIA DE BACTERIAS RESISTENTES;23764;660684;NBU;BAJA;10000
660695;NORADRENALINA, SERICA - CATECOLAMINA;22850;660695;NBU;BAJA;10000
660696;NORADRENALINA, URINARIA  - CATECOLAMINA;22850;660696;NBU;BAJA;10000
660702;NUCLEOTIDASA - 5' N;7312;660702;NBU;BAJA;10000
660711;ORINA COMPLETA;4570;660711;NBU;BAJA;10000
660714;OSMOLARIDAD - CLEARENCE (SANGRE - ORINA);4570;660714;NBU;BAJA;10000
660715;OSMOLARIDAD - SUERO;2285;660715;NBU;BAJA;10000
660716;OXIGENO, PO2 - SANGRE ARTERIAL;0;660716;NBU;BAJA;10000
660732;PAPANICOLAOU ENDOCERVICAL;8226;660732;NBU;BAJA;10000
660734;PAPANICOLAOU EXOCERVICAL;8226;660734;NBU;BAJA;10000
660736;PARASITOLOGICO EN MATERIA FECAL;3656;660736;NBU;BAJA;10000
660737;PARASITOS HEMATICOS;5484;660737;NBU;BAJA;10000
660738;PARASITOS SUPERIORES;3656;660738;NBU;BAJA;10000
660739;PARATHORMONA - PTH;12339;660739;NBU;BAJA;10000
660740;PEROXIDASAS, TINCION;4570;660740;NBU;BAJA;10000
660741;PH - LIQUIDOS BIOLOGICOS;1828;660741;NBU;BAJA;10000
660742;PH - SANGUINEO;0;660742;NBU;BAJA;10000
660743;PIRUVATO- QUINASA;0;660743;NBU;BAJA;10000
660744;PIRUVICO, ACIDO ENZIMATICO;0;660744;NBU;BAJA;10000
660745;PLAQUETARIOS, FACTORES;9140;660745;NBU;BAJA;10000
660746;PLAQUETAS, RECUENTO DE;1828;660746;NBU;BAJA;10000
660747;PLASMA RECALCIFICADO, TIEMPO DE;914;660747;NBU;BAJA;10000
660748;PLASMINOGENO (IDR);34732;660748;NBU;BAJA;10000
660749;PLOMO (PB) - SERICO O URINARIO;18280;660749;NBU;BAJA;10000
660751;PORFIRINAS O UROPORFIRINAS - URINARIAS;13710;660751;NBU;BAJA;10000
660752;PORFOBILINOGENO (CUALITATIVO) - URINARIO;10968;660752;NBU;BAJA;10000
660753;POTASEMIA;0;660753;NBU;BAJA;10000
660754;POTASURIA;0;660754;NBU;BAJA;10000
660758;PROGESTERONA - PG;10054;660758;NBU;BAJA;10000
660759;PROLACTINA (PRL);9140;660759;NBU;BAJA;10000
660761;PROTEINA C REACTIVA - PCR;4570;660761;NBU;BAJA;10000
660763;PROTEINA TOTALES;1371;660763;NBU;BAJA;10000
660764;PROTEINOGRAMA ELECTROFORETICO, EN SUERO;10968;660764;NBU;BAJA;10000
660765;PROTEINOGRAMA ELECTROFORETICO - LCR;18280;660765;NBU;BAJA;10000
660766;PROTEINOGRAMA - LIQUIDOS BIOLOGICOS;18280;660766;NBU;BAJA;10000
660767;PROTEINURIA;1371;660767;NBU;BAJA;10000
660768;PROTOPORFIRINAS - ERITROCITARIA;10968;660768;NBU;BAJA;10000
660769;PROTROMBINA, CONSUMO DE;1828;660769;NBU;BAJA;10000
660770;PROTROMBINA, RIN;3656;660770;NBU;BAJA;10000
660771;PROTROMBINA, TIEMPO DE (TP);2742;660771;NBU;BAJA;10000
660772;PSEUDOCOLINESTERASA (CHE) O BUTIRILCOLINESTERASA;3656;660772;NBU;BAJA;10000
660801;QUIMIOTRIPSINA;27420;660801;NBU;BAJA;10000
660812;RENINA - ANGIOTESINA;16452;660812;NBU;BAJA;10000
660813;RHO FACTOR - GRUPO SANGUINEO;0;660813;NBU;BAJA;10000
660814;RHO FACTOR C GRANDE;1828;660814;NBU;BAJA;10000
660815;RHO FACTOR C CHICA;1828;660815;NBU;BAJA;10000
660816;RHO FACTOR E GRANDE;1828;660816;NBU;BAJA;10000
660817;RHO FACTOR E CHICA;1828;660817;NBU;BAJA;10000
660818;RETICULOCITOS, RECUENTO DE;1828;660818;NBU;BAJA;10000
660820;ROSSE RAGAN, PRUEBA DE (RR);2285;660820;NBU;BAJA;10000
660831;SALICILATOS;11425;660831;NBU;BAJA;10000
660832;SALMONELLA, ANTICUERPOS (IFI - ELISA);5484;660832;NBU;BAJA;10000
660833;SANGRE OCULTA - MATERIA FECAL (SOMF) - INMUNOLOGICO;9140;660833;NBU;BAJA;10000
660835;SEROTONINA - SERICA;21936;660835;NBU;BAJA;10000
660837;SIDEROFILINA, CAPACIDAD DE SATURACION;8226;660837;NBU;BAJA;10000
660838;SIMS - HUHNER, TEST DE;18280;660838;NBU;BAJA;10000
660839;SODIO - SERICO O URINARIO;0;660839;NBU;BAJA;10000
660841;SOMATOTROFINA (STH);10968;660841;NBU;BAJA;10000
660846;"SUBTIPO HEMOGLOBINA A2, DETERMINACION DE
(ELECTROFORESIS)";10054;660846;NBU;BAJA;10000
660847;SUDOR, TEST DE;27420;660847;NBU;BAJA;10000
660862;TALIO (TL) - URINARIO;18280;660862;NBU;BAJA;10000
660863;TESTOSTERONA - TO;10054;660863;NBU;BAJA;10000
660864;THORN, PRUEBA DE;0;660864;NBU;BAJA;10000
660865;TIROTROFINA - TSH;8226;660865;NBU;BAJA;10000
660866;TIROXINA TOTAL - T4;8226;660866;NBU;BAJA;10000
660867;TIROXINA EFECTIVA - LIBRE (FT4 / T4L);8226;660867;NBU;BAJA;10000
660870;TOXOPLASMOSIS (HA);3656;660870;NBU;BAJA;10000
660871;TOXOPLASMOSIS (IFI);5484;660871;NBU;BAJA;10000
660873;TRANSAMINASA, GLUTAMICO OXALACETICA (GOT / AST);1371;660873;NBU;BAJA;10000
660874;TRANSAMINASA, GLUTAMICO PIRUVICA (GPT / AGT);1371;660874;NBU;BAJA;10000
660875;TRANSFERRINA;5484;660875;NBU;BAJA;10000
660876;TRIGLICERIDOS (TG);2285;660876;NBU;BAJA;10000
660878;TRIIODOTIRONINA TOTAL - T3;8226;660878;NBU;BAJA;10000
660879;TROMBINA, PRUEBA DE GENERACION DE LA;2742;660879;NBU;BAJA;10000
660880;TROMBINA, TIEMPO DE;4570;660880;NBU;BAJA;10000
660887;TROMBOPLASTINA, TIEMPO DE (KPTT / TTPC / KT);2742;660887;NBU;BAJA;10000
660901;UREA, CLEARENCE DE;2742;660901;NBU;BAJA;10000
660902;UREA, SERICA;1371;660902;NBU;BAJA;10000
660903;URETRAL, EXUDADO (DIRECTO Y CULTIVO);10054;660903;NBU;BAJA;10000
660904;URICO, ACIDO - SERICO;1371;660904;NBU;BAJA;10000
660905;URICO, ACIDO - URINARIO;1371;660905;NBU;BAJA;10000
660907;UROCITOGRAMA;3656;660907;NBU;BAJA;10000
660911;UROCULTIVO (MODULO);18280;660911;NBU;BAJA;10000
660923;UROPROTEINOGRAMA;54840;660923;NBU;BAJA;10000
660931;VAGINAL, EXUDADO O FLUJO (DIRECTO Y CULTIVO);14624;660931;NBU;BAJA;10000
660932;VAINILLIN MANDELICO, ACIDO - URINARIO (AVM) (HPLC);13710;660932;NBU;BAJA;10000
660933;V D R L / USR;3656;660933;NBU;BAJA;10000
660935;VARIANTE BACTERIANA;0;660935;NBU;BAJA;10000
