CODIGO;Descripción
080802;ANASTOMOSIS PANCREATICODI
080803;ESC.LOCAL D/LESION D/PANC
080804;ESC.CORPOROCAUDAL ESPLENO
080805;SUTURA DE PANCREAS
080901;ESPLENECTOMIA
080902;PUNCION ESPLENICA PERCUTA
090101;LINFADENECTOMIA CERVICAL
090102;LINFADENECTOMIA CERVICAL
090103;ESC.DE LESION CONDUCT.LIN
090104;DRENAJE DE SENO LINFATICO
090105;LINFADENECTOMIA
090106;LINFADENOTOMIA
090107;BIOPSIA D/GANGLIO LINFATI
090108;DISEC.QUIRUR.P/LINFOADENO
100101;NEFRECTOMIA TOTAL
100102;NEFRECTOMIA PARCIAL
100103;NEFROURETECTOMIA TOTAL CO
100104;NEFROCTOMIA,NEFROSTOMIA,N
100105;CIRUGIA VASCULORRENAL ANE
100106;TRANS. RENAL CON AUT. ESP
100107;LUMBOTOMIAS EXP. DRENAJE
100108;TRAT. QUIR. FISTULA LUMBA
100109;BIOPSIA RENAL PERCUTANEA
100110;PLASTIA DE LA UNION URETE
100111;DERIVACIONES UTERALES A I
100112;DERIVACIONES URETERALES A
100113;URETERECTOMIA PARCIAL
100114;PIELOTOMIA PIELOLITOTOMIA
100115;EXTRACCION DE CALCULOS UR
100116;TRAT. QUIR. FISTULA URETE
100201;CISTECTOMIA TOTAL CON DER
100202;CISTECTOMIA TOTAL DERIV.
100203;CISTECTOMIA PARCIAL -DIVE
100204;CISTOPLASTIA COLON O ILIO
100205;CISTOPLASTIA PARA LA EXTR
100206;TRAT. QUIR. FISTULA VESIC
100207;TRAT. QUIR. FISTULA VESIC
100208;CISTOTOMIA A CIELO ABIERT
100209;CISTOTOMIA POR PUNCION CO
100210;RESECCION ENDOSCOPICA DE
100211;TRAT. INCONTINENCIA DE OP
100212;TRAT. INCONTINENCIA ORINA
100213;TRAT. INCONTINENCIA ORINA
100301;EPISPADIAS O HIPOSPADIAS
100302;URETROPLASTIA POR TRAUMAT
100303;URETROTOMIA EXTERNA DERIB
100304;URETRORRAFIA POR DESGARRO
100305;MEATOTOMIA
100306;ELECTROCOAGULACION O RESE
100401;PROSTATECTOMIA RADICAL
100402;ADENOMECTOMIA DE PROSTATA
100403;RESECCION DE FIBROSIS Y C
100404;RESECCION ENDOSCOPICA TRA
100405;VECICULECTOMIA COMO UNICA
100406;PROSTATOMIA DRENAJE
100407;BIOPSIA PROSTATICA POR PU
100501;ORQUIDECTOMIA UNILATERAL
100502;ORQUIDECTOMIA SUB-ALBUGIN
100503;ORQUIDECTOMIA UNILATERAL
100504;ORQUIDOPEXIA UNILATERAL C
100505;ORQUIDOPEXIA BILATERAL CO
100506;TRAT. QUIR. DEL HIDROCELE
100507;BIOPSIA DE TETICULO
100508;ESCROTOPLASTIA
100509;DRENAJE DE ABSCESO TESTIC
100510;PUNCION DE DERRAME ESCROT
100601;EPIDIDIMECTOMIA BILATERAL
100602;EPIDIDIMECTOMIA UNILATERA
100603;EPIDIDIMOVASOSTOMIA ANAST
100604;EPIDIDIMOTOMIA Y DRENAJE
100605;ANASTOMOSIS D/CONDUCTO DE
100606;BIOPSIA DE EPIDIDIMO
100607;VASECTOMISA LIGADURA D/CO
100701;AMPUTACION RADIC.O PARC.D
100702;AMPUT.COMPLETA O PARC.D/P
100703;OPERAC.PLASTICA D/PENE
100704;ESCIS.TOTAL D/LESION D/PE
100705;BIOPSIA DEL PENE
100706;CAVERNOSTOMIA PUNC.CUERPO
100707;RESECCION D/ESCLEOROSIS E
100708;SHUNT CAVERNO-ESPON.O CAV
100709;POSTIOPLASTIA -FISMOSIS-V
100710;CIRCUNCISION
100711;INCISION DORSAL O LAT.D/P
110101;RES.CUNEIFORME DE OVARIOS
110102;CULDOSCOPIA O LAPARASCOPI
110103;CELIOSCOPIA CULDOSCOPIA O
110104;LIGADURAS DE TROMPAS
110105;MICROCIRUGIA ESTERILIDAD
110201;HISTERECTOMIA RADICAL COL
110202;EXENTERACION PELVIANA D/B
110203;HISTERECTOMIA C/S ANEXECT
110204;MIOMECTOMIA UTERINA ABDOM
110205;MIOMECTOMIA VAGINAL
110206;MIOMECTOMIA VAGINAL P/HIT
110207;HISTERORRAFIA
110208;OPERAC.CORRECT.D/L/VICIOS
110209;CORREC.QUIRURG.D/INV.UTER
110210;RASPADO UTERINO TERAPEUTI
110211;RASPADO UTERINO DIAG.C/S
110212;AMPUTACION CUELLO
110213;CONIZACION DE CUELLO
110214;TRAQUELORRAFIA CERCLAJE D
